,month,count,name,latitude,longitude
0,8,11488,8 Ave & W 31 St,40.75044999,-73.99481051
1,6,10929,8 Ave & W 31 St,40.75044999,-73.99481051
2,11,7726,8 Ave & W 31 St,40.75044999,-73.99481051
3,4,7996,E 42 St & Vanderbilt Ave,40.752416,-73.97837
4,3,5208,E 42 St & Vanderbilt Ave,40.752416,-73.97837
5,7,13064,8 Ave & W 31 St,40.75044999,-73.99481051
6,5,9746,E 42 St & Vanderbilt Ave,40.752416,-73.97837
7,12,6543,8 Ave & W 31 St,40.75044999,-73.99481051
8,10,11796,8 Ave & W 31 St,40.75044999,-73.99481051
9,2,2920,Lafayette St & E 8 St,40.73028666,-73.9907647
10,1,3634,Pershing Square N,40.75188406,-73.97770164
11,9,12439,8 Ave & W 31 St,40.75044999,-73.99481051
